Team,FirstName,LastName,Nationality,Age,Team_Location,College,HighSchool,BirthState,State_Born,Experience,League,FullName,BirthCity,State
Los Angeles Galaxy,Rubén ,Ramos,United States,17,California,,,,,,MLS,Rubén Ramos,,
Club de Foot Montréal,Victor Mugabe,Wanyama,Kenya,33,Quebec,,,,,,MLS,Victor Mugabe Wanyama,,
Club de Foot Montréal,Lassi,Lappalainen,Finland,25,Quebec,,,,,,MLS,Lassi Lappalainen,,
Club de Foot Montréal,Josef Alexander,Martínez,Venezuela,31,Quebec,,,,,,MLS,Josef Alexander Martínez,,
Club de Foot Montréal,Samuel,Piette,Canada,29,Quebec,,,,,,MLS,Samuel Piette,,
Club de Foot Montréal,Raheem Nathaniel Anfernee,Edwards,Canada,28,Quebec,,,,,,MLS,Raheem Nathaniel Anfernee Edwards,,
Club de Foot Montréal,Sebastian,Breza,Canada,26,Quebec,,,,,,MLS,Sebastian Breza,,
Club de Foot Montréal,Logan,Ketterer,United States,30,Quebec,,,,,,MLS,Logan Ketterer,,
Club de Foot Montréal,Ruan Gregório,Teixeira,Brazil,29,Quebec,,,,,,MLS,Ruan Gregório Teixeira,,
Club de Foot Montréal,Matías Fernando,Cóccaro Ferreira,Uruguay,26,Quebec,,,,,,MLS,Matías Fernando Cóccaro Ferreira,,
Club de Foot Montréal,Dominik,Yankov,Bulgaria,23,Quebec,,,,,,MLS,Dominik Yankov,,
Club de Foot Montréal,Mason,Toye,United States,25,Quebec,,,,,,MLS,Mason Toye,,
Club de Foot Montréal,Gabriele,Corbo,Italy,24,Quebec,,,,,,MLS,Gabriele Corbo,,
Club de Foot Montréal,Mathieu,Choinière,Canada,25,Quebec,,,,,,MLS,Mathieu Choinière,,
Club de Foot Montréal,Ariel Daniel,Lassiter Acuña,Costa Rica,29,Quebec,,,,,,MLS,Ariel Daniel Lassiter Acuña,,
Club de Foot Montréal,Sunusi,Ibrahim,Nigeria,21,Quebec,,,,,,MLS,Sunusi Ibrahim,,
Club de Foot Montréal,Joel,Waterman,Canada,28,Quebec,,,,,,MLS,Joel Waterman,,
Club de Foot Montréal,George,Campbell,United States,23,Quebec,,,,,,MLS,George Campbell,,
Club de Foot Montréal,Bryce,Duke,United States,23,Quebec,,,,,,MLS,Bryce Duke,,
Club de Foot Montréal,Jonathan,Sirois,Canada,23,Quebec,,,,,,MLS,Jonathan Sirois,,
Club de Foot Montréal,Kwadwo,Opoku,Ghana,22,Quebec,,,,,,MLS,Kwadwo Opoku,,
Club de Foot Montréal,Nathan-Dylan,Saliba,Canada,19,Quebec,,,,,,MLS,NathanDylan Saliba,,
