Team,FirstName,LastName,Nationality,Team_Location,College,HighSchool,BirthState,State_Born,Experience,League,BirthCity,State,FullName
Houston Dynamo,Latif,Blessing,Ghana,Texas,,,,,,MLS,,,Latif Blessing
Houston Dynamo,Amine,Bassi,France,Texas,,,,,,MLS,,,Amine Bassi
Houston Dynamo,Orrin McKinze,Gaines II,United States,Texas,,,,,,MLS,,,Orrin McKinze Gaines II
Houston Dynamo,Luís Alberto,Caicedo Mosquera,Colombia,Texas,,,,,,MLS,,,Luís Alberto Caicedo Mosquera
Houston Dynamo,Adalberto Eliécer,Carrasquilla Alcázar,Panama,Texas,,,,,,MLS,,,Adalberto Eliécer Carrasquilla Alcázar
Houston Dynamo,Carlos Sebastián,Ferreira Vidal,Paraguay,Texas,,,,,,MLS,,,Carlos Sebastián Ferreira Vidal
Houston Dynamo,Griffin ,Dorsey,United States,Texas,,,,,,MLS,,,Griffin  Dorsey
Houston Dynamo,Tate ,Schmitt,United States,Texas,,,,,,MLS,,,Tate  Schmitt
Houston Dynamo,Aliyu,Ibrahim,Nigeria,Texas,,,,,,MLS,,,Aliyu Ibrahim
Houston Dynamo,Ethan ,Bartlow,United States,Texas,,,,,,MLS,,,Ethan  Bartlow
Houston Dynamo,Micael,dos Santos Silva,Brazil,Texas,,,,,,MLS,,,Micael dos Santos Silva
Houston Dynamo,Sebastian,Kowalczyk,Poland,Texas,,,,,,MLS,,,Sebastian Kowalczyk
Houston Dynamo,Xavier,Valdez,Dominican Republic,Texas,,,,,,MLS,,,Xavier Valdez
Houston Dynamo,Brooklyn,Raines,United States,Texas,,,,,,MLS,,,Brooklyn Raines
Houston Dynamo,Nelson,Quiñones,Colombia,Texas,,,,,,MLS,,,Nelson Quiñones
Houston Dynamo,Jefferson Laider,Valverde Arboleda,Ecuador,Texas,,,,,,MLS,,,Jefferson Laider Valverde Arboleda
Houston Dynamo,Gabriel,Segal,United States,Texas,,,,,,MLS,,,Gabriel Segal
Houston Dynamo,Diego,Gonzalez,United States,Texas,,,,,,MLS,,,Diego Gonzalez
Houston Dynamo,Kieran,Sargeant,United States,Texas,,,,,,MLS,,,Kieran Sargeant
Houston Dynamo,Obafemi,Awodesu,United States,Texas,,,,,,MLS,,,Obafemi Awodesu
Houston Dynamo,Stephen ,Annor Gyamfi,Ghana,Texas,,,,,,MLS,,,Stephen  Annor Gyamfi
Houston Dynamo,Ousmane,Sylla,Senegal,Texas,,,,,,MLS,,,Ousmane Sylla
Los Angeles Galaxy,Maya,Yoshida,Japan,California,,,,,,MLS,,,Maya Yoshida
Los Angeles Galaxy,José Martín,Cáceres Silva,Uruguay,California,,,,,,MLS,,,José Martín Cáceres Silva
Los Angeles Galaxy,Gastón,Brugman,Uruguay,California,,,,,,MLS,,,Gastón Brugman
Los Angeles Galaxy,Diego Santiago,Fagúndez Pepe,Uruguay,California,,,,,,MLS,,,Diego Santiago Fagúndez Pepe
Los Angeles Galaxy,John,McCarthy,United States,California,,,,,,MLS,,,John McCarthy
Los Angeles Galaxy,Marco Antonio,Delgado,United States,California,,,,,,MLS,,,Marco Antonio Delgado
Los Angeles Galaxy,Eriq Anthony,Zavaleta Vanney,El Salvador,California,,,,,,MLS,,,Eriq Anthony Zavaleta Vanney
Los Angeles Galaxy,Joseph,Paintsil,Ghana,California,,,,,,MLS,,,Joseph Paintsil
Los Angeles Galaxy,Dejan,Joveljić,Serbia,California,,,,,,MLS,,,Dejan Joveljić
Los Angeles Galaxy,Ricard,Puig Martí,Spain,California,,,,,,MLS,,,Ricard Puig Martí
Los Angeles Galaxy,John,Nelson,United States,California,,,,,,MLS,,,John Nelson
Los Angeles Galaxy,Edwin Javier ,Cerrillo,United States,California,,,,,,MLS,,,Edwin Javier  Cerrillo
Los Angeles Galaxy,Novak,Mićović,Serbia,California,,,,,,MLS,,,Novak Mićović
Los Angeles Galaxy,Gabriel,Fortes Chaves,Brazil,California,,,,,,MLS,,,Gabriel Fortes Chaves
Los Angeles Galaxy,Miguel,Berry,Spain,California,,,,,,MLS,,,Miguel Berry
Los Angeles Galaxy,Jonathan Alexánder ,Pérez Lara,Mexico,California,,,,,,MLS,,,Jonathan Alexánder  Pérez Lara
Los Angeles Galaxy,Julián Ezequiel,Aude Bernardi,Argentina,California,,,,,,MLS,,,Julián Ezequiel Aude Bernardi
Los Angeles Galaxy,Isaiah ,Parente,United States,California,,,,,,MLS,,,Isaiah  Parente
Los Angeles Galaxy,Jalen Christopher,Neal,United States,California,,,,,,MLS,,,Jalen Christopher Neal
Los Angeles Galaxy,Marcus,Ferkranus,United States,California,,,,,,MLS,,,Marcus Ferkranus
Los Angeles Galaxy,Miki,Yamane,Japan,California,,,,,,MLS,,,Miki Yamane
Los Angeles Galaxy,Daniel ,Aguirre,United States,California,,,,,,MLS,,,Daniel  Aguirre
Los Angeles Galaxy,Gino,Vivi Quesada,Costa Rica,California,,,,,,MLS,,,Gino Vivi Quesada
Los Angeles Galaxy,Mauricio Aimar ,Cuevas,United States,California,,,,,,MLS,,,Mauricio Aimar  Cuevas
Los Angeles Galaxy,Aaron,Bibout,Cameroon,California,,,,,,MLS,,,Aaron Bibout
Los Angeles Galaxy,Carlos Emiro,Garcés Torres,Colombia,California,,,,,,MLS,,,Carlos Emiro Garcés Torres
Los Angeles Galaxy,Tucker,Lepley,United States,California,,,,,,MLS,,,Tucker Lepley
